,rank,artist,tour_title,actual_gross_in_usd,adjusted_gross_in_usd,average_gross_in_usd,number_of_shows,start_year,end_year,duration_in_years
0,1,Taylor Swift,The Eras Tour,780000000,780000000,13928571,56,2023,2024,1
1,2,Beyoncé,Renaissance World Tour,579800000,579800000,10353571,56,2023,2023,0
2,3,Madonna,Sticky & Sweet Tour,411000000,560622615,4835294,85,2008,2009,1
3,4,Pink,Beautiful Trauma World Tour,397300000,454751555,2546795,156,2018,2019,1
4,5,Taylor Swift,Reputation Stadium Tour,345675146,402844849,6522173,53,2018,2018,0
5,6,Madonna,The MDNA Tour,305158363,388978496,3467709,88,2012,2012,0
6,7,Celine Dion,Taking Chances World Tour,280000000,381932682,2137405,131,2008,2009,1
7,8,Pink,Summer Carnival,257600000,257600000,6282927,41,2023,2024,1
8,9,Beyoncé,The Formation World Tour,256084556,312258401,5226215,49,2016,2016,0
9,10,Taylor Swift,The 1989 World Tour,250400000,309141878,2945882,85,2015,2015,0
10,11,Beyoncé,The Mrs. Carter Show World Tour,229100000,283202896,1735606,132,2013,2014,1
11,12,Lady Gaga,The Monster Ball Tour,227400000,295301479,1118227,203,2009,2011,2
12,13,Katy Perry,Prismatic World Tour,204000000,251856802,1350993,151,2014,2015,1
13,14,Cher,Living Proof: The Farewell Tour,200000000,299676265,615385,325,2002,2005,3
14,15,Madonna,Confessions Tour,194000000,281617035,3233333,60,2006,2006,0
15,16,Pink,The Truth About Love Tour,184000000,227452347,1295775,142,2013,2014,1
16,17,Lady Gaga,Born This Way Ball,170000000,213568571,1734694,98,2012,2013,1
17,18,Madonna,Rebel Heart Tour,169800000,207046755,2070732,82,2015,2016,1
18,19,Adele,Adele Live 2016,167700000,204486106,1385950,121,2016,2017,1
19,20,Taylor Swift,The Red Tour,150000000,185423109,1744186,86,2013,2014,1
